tweet_id_str,date_time,location,tweet_text
1542087774479781894,2022-06-29 10:09:10+00:00,Bizarro world,"""Immune system expert"" Prof. Cyrille Cohen wants to “actively encourage herd immunity among the vulnerable and older population” by injecting the last few people in the country who still have true immunity with a non-sterilising ""vaccine"". 🤦🏻‍♂️
https://t.co/nFpqxOR3PG"
1542073761695862784,2022-06-29 09:13:29+00:00,,"Xi said China's #COVID response measures have protected people's lives and health to the greatest extent. 

""If China had adopted the 'herd immunity' policy or a hands-off approach, given its large population, the country would have faced catastrophic consequences."" 
#XiJinping https://t.co/tRxmiTAGrt"
1542072387679580160,2022-06-29 09:08:02+00:00,Canada,"Xi Warns Against 'Herd Immunity,' Vows to Stick With Covid Zero https://t.co/WQE4Mwf7P9"
1542062542872141826,2022-06-29 08:28:55+00:00,"Beijing, China","During his visit to Wuhan, President Xi said that given China's large population, if it pursues ""herd immunity"" and adopts ""lying down"" approach, the consequences would be unimaginable &amp; dynamic zero-COVID is the most economical and effective choice for the country. https://t.co/R35bYu5MrC"
1542050733209653255,2022-06-29 07:41:59+00:00,United Kingdom,"On the discredited herd immunity strategy 

This is interesting hatchet job on early US strategy. Have no time for Trump but this is such a partisan attack. You need to click through to get full thing. The text is  only some 20 pages long. 

https://t.co/KQyf4JNXci"
1542041045533196290,2022-06-29 07:03:29+00:00,WA ,"ItSpeaks4Itself!

You don’t get it🙄🧐

FAUCI’S ARMY PREACHED “Herd Immunity” &amp; instead LOCKED DOWN THE WORLD!

GOD GAVE YOU IMMUNITY!

MILLIONS OF MANKIND WHO TAKE CARE OF THEIR BODY’S &amp; IMMUNE SYSTEM!

WEATHERED
“The Covid-19 flu”

WITHOUT WEIRD SCIENCE 
https://t.co/yxLfOiOwIX https://t.co/ziRY1cQ2R3"
1542040163009695745,2022-06-29 06:59:59+00:00,Beijing,"Xi visits #Wuhan, emphasizing that China has to stick with the dynamic zero Covid tolerance policy, saying that given the large population, China can’t take the herd immunity policy or “lying flat” in dealing with the virus, those stances will lead to disastrous outcome. https://t.co/AYZlpFulTy"
1542038977825341440,2022-06-29 06:55:16+00:00,Barneveld,"Dr. Jay Bhattacharya on Vaccine Mandates, Herd Immunity, and Why Zero COVID-19 Is Impossible

https://t.co/Y4SWydzaFX"
1542036138726084608,2022-06-29 06:43:59+00:00,,"President Xi: If China chooses the path of herd immunity or lying flat and doing nothing, there would be unthinkable consequences. The dynamic zero-covid policy fits China’s special condition. (We) should remain committed to this policy even at the expense of the economic growth. https://t.co/whthTmeN9y"
1542035054498414592,2022-06-29 06:39:41+00:00,Shanghai HongKong,"Covid zero policy is the most economic and effective way for #China. If we choose herd immunity and ""Lying flat"", based on China's mass population, the consequences would be too ghastly to contemplate, Xi Jinping stressed during his visit to Wuhan, Hubei.-Xinhua"
1542030563431055360,2022-06-29 06:21:50+00:00,,And we need to stop considering the pandemic over just because we have vaccines  that almost do fuck all to reduce transmission of emerging variants or provide any semblance of herd immunity. https://t.co/Nbi0SP8jsk
1542025895736664064,2022-06-29 06:03:17+00:00,,"Well they are certainly not working for me!
#50sWomen no pension, no letter, no notice. 
We believed the austerity ploy. We all did our bit.
Then it was covid and we saw what they thought of us, #BrexitLies cash for honours, No PPE, then #Torycronyism, herd immunity, #partygate https://t.co/1GoDBO3l5T"
1542021931024752641,2022-06-29 05:47:32+00:00,Sverige,"Celebrating two years of Swedish herd immunity and  'late pandemic phase'
https://t.co/BCaPqX6OHG"
1541940922379894784,2022-06-29 00:25:38+00:00,,The vaccines cannot catch up with the rapidly mutating coronavirus. But the good news is that we don't have to worry about covid anymore because covid has become a very mild and attenuated illness. And we all probably have natural/herd immunity against it anyways. https://t.co/VExNQPFFnv
1541925263855915008,2022-06-28 23:23:25+00:00,Deep inside the forest....,"Sharing some big laughs &amp; bonding about deliberately infecting your own citizens with #COVID19 allegedly for herd/hybrid immunity. All you’re really doing is causing endless mass harm, disability, suffering &amp; deaths. https://t.co/XsuHOp8ERe"
1541922258691710977,2022-06-28 23:11:28+00:00,,"Covid warning as more times people get reinfected ‘more likely it is they get unlucky’ and develop long Covid | The Independent.   Really?  You don't say... You ""thought"" wrong didn't you. You believed in ""Herd Immunity"". Did Fauci say 70%  https://t.co/QoWLt3dq13"
1541898030965837824,2022-06-28 21:35:12+00:00,,https://t.co/XIDmsH1GW9 who would have thought it herd immunity 🤔
